date,symbol,open,high,low,close,volume,adj_close
2017-06-19,DIA,214.36,215.01,214.08,214.92,2103300.0,194.49
2017-06-20,DIA,214.89,215.07,214.37,214.4,1762100.0,194.01
2017-06-21,DIA,214.65,214.65,213.64,213.89,2129400.0,193.55
2017-06-22,DIA,214.08,214.29,213.66,213.73,2697100.0,193.41
2017-06-23,DIA,213.44,213.95,213.06,213.74,1346800.0,193.42
2017-06-26,DIA,214.29,214.76,213.53,213.87,1940400.0,193.54
2017-06-27,DIA,213.71,214.13,212.87,212.93,1981600.0,192.68
2017-06-28,DIA,212.93,214.53,212.93,214.24,4693700.0,193.87
2017-06-29,DIA,214.52,214.55,211.7,212.61,4372600.0,192.4
2017-06-30,DIA,213.15,213.99,212.97,213.24,2216600.0,192.97
2017-07-03,DIA,213.95,215.38,213.88,214.49,2134700.0,194.1
2017-07-05,DIA,214.74,214.83,213.83,214.58,1799000.0,194.18
2017-07-06,DIA,214.09,214.25,212.94,213.14,2297500.0,192.87
2017-07-07,DIA,213.54,214.16,213.42,214.05,1326500.0,193.7
2017-07-10,DIA,213.68,214.35,213.54,213.99,1156300.0,193.64
2017-07-11,DIA,213.91,214.29,212.68,213.98,1577600.0,193.63
2017-07-12,DIA,214.98,215.7,214.89,215.23,2103300.0,194.77
2017-07-13,DIA,215.3,215.56,215.0,215.46,1587400.0,194.97
2017-07-14,DIA,215.3,216.68,215.11,216.26,2395500.0,195.7
2017-07-17,DIA,216.32,216.49,216.04,216.22,2291000.0,195.66
2017-07-18,DIA,215.66,215.81,214.63,215.7,2247500.0,195.19
2017-07-19,DIA,215.89,216.34,215.66,216.32,1785800.0,195.75
2017-07-20,DIA,216.57,216.58,215.71,216.19,1372000.0,195.63
2017-07-21,DIA,215.19,215.55,214.76,215.53,2217300.0,195.25
2017-07-24,DIA,215.51,215.51,214.68,215.09,1459600.0,194.85
2017-07-25,DIA,216.5,216.52,215.49,215.86,1924200.0,195.55
2017-07-26,DIA,216.81,217.16,216.56,216.81,2041000.0,196.41
2017-07-27,DIA,217.28,217.75,216.63,217.72,3202400.0,197.23
2017-07-28,DIA,217.53,218.16,217.3,218.02,2305000.0,197.51
2017-07-31,DIA,218.65,219.03,218.49,218.7,1765000.0,198.12
2017-08-01,DIA,219.74,219.8,219.15,219.37,2307100.0,198.73
2017-08-02,DIA,219.83,220.13,219.44,219.89,3063300.0,199.2
2017-08-03,DIA,219.93,220.23,219.72,220.06,2496400.0,199.35
2017-08-04,DIA,220.64,220.67,220.03,220.57,1877700.0,199.82
2017-08-07,DIA,220.75,220.98,220.6,220.85,1902800.0,200.07
2017-08-08,DIA,220.8,221.68,220.44,220.69,3623900.0,199.93
